Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1726679203503,18/09/2024 17:06:43,1726661203503,-5,18/09/2024 07:06:43,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726679206010,18/09/2024 17:06:46,1726661206010,-5,18/09/2024 07:06:46,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,2270.200000023842,2266.6000000000004,2270.200000023842,2270.200000023842,2266.6000000000004,2270.200000023842,1,2270.200000023842,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726679469621,18/09/2024 17:11:09,1726661469621,-5,18/09/2024 07:11:09,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,263615.60000002384,263604.8,263615.60000002384,263615.60000002384,263604.8,263615.60000002384,1,263615.60000002384,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1726679469629,18/09/2024 17:11:09,1726661469629,-5,18/09/2024 07:11:09,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.70000000001164,0,16.70000000001164,16.70000000001164,0,16.70000000001164,1,16.70000000001164,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726679478349,18/09/2024 17:11:18,1726661478349,-5,18/09/2024 07:11:18,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,8739.000000071537,8732.900000000023,8739.000000071537,8739.000000071537,8732.900000000023,8739.000000071537,1,8739.000000071537,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1726679478350,18/09/2024 17:11:18,1726661478350,-5,18/09/2024 07:11:18,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,6766.400000000023,8732.900000000023,8739.500000071537,6766.400000000023,8732.900000000023,8739.500000071537,1,6766.400000000023,1973.100000071514,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1726679478355,18/09/2024 17:11:18,1726661478355,-5,18/09/2024 07:11:18,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,11.799999999988358,0,11.799999999988358,11.799999999988358,0,11.799999999988358,1,11.799999999988358,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1726679488475,18/09/2024 17:11:28,1726661488475,-5,18/09/2024 07:11:28,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,10132.000000047672,10116.099999999977,10132.000000047672,10132.000000047672,10116.099999999977,10132.000000047672,1,10132.000000047672,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1726679488477,18/09/2024 17:11:28,1726661488477,-5,18/09/2024 07:11:28,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,8482.899999999965,10116.099999999977,10132.799999999988,8482.899999999965,10116.099999999977,10132.799999999988,1,8482.899999999965,1649.9000000000233,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1726679488477,18/09/2024 17:11:28,1726661488477,-5,18/09/2024 07:11:28,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#3,40145170,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Subjective rating Practice,7,Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
